YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DISTANCE,CANCELLED,DEP_HOUR,DEPARTURE_DELAY
2025,7,28,1,DL,MSP,EWR,2155,173,0,21,16.0
2025,4,19,3,AA,EWR,IAH,1300,1983,0,13,7.0
2025,11,10,1,F9,DEN,FLL,2230,2027,0,22,11.0
2025,8,6,6,SW,LAX,MSP,55,3514,0,0,18.0
2025,5,10,0,DL,SFO,EWR,1310,2293,0,13,6.0
2025,7,10,1,NK,JFK,FLL,125,4073,0,1,15.0
2025,10,21,2,DL,DTW,FLL,1340,861,0,13,20.0
2025,3,12,1,B6,ORD,SEA,1680,2185,0,16,24.0
2025,7,24,5,SW,ORD,JFK,1245,4725,0,12,15.0
2025,11,4,1,AS,MSP,DFW,1655,2569,0,16,44.0
2025,11,13,2,UA,MSP,PHX,680,3518,0,6,14.0
2025,8,26,0,B6,SFO,CLT,10,432,0,0,6.0
2025,5,10,4,NK,FLL,CLT,490,4728,0,4,20.0
2025,4,16,0,UA,EWR,IAH,670,4852,0,6,10.0
2025,8,19,0,NK,SFO,PHL,200,1323,0,2,10.0
2025,8,6,3,AS,ORD,LGA,1005,450,0,10,58.0
2025,3,26,3,F9,LGA,BOS,495,4735,0,4,18.0
2025,6,9,6,AS,EWR,PHL,150,1435,0,1,5.0
2025,5,14,2,NK,FLL,PHX,680,4446,0,6,31.0
2025,2,24,6,AS,PHL,CLT,1780,2163,0,17,17.0
2025,8,10,3,UA,SFO,IAH,1885,3402,0,18,49.0
2025,12,8,5,B6,DEN,ATL,1800,952,0,18,16.0
2025,6,3,4,NK,MIA,FLL,310,3293,0,3,11.0
2025,2,17,2,AA,DTW,PHL,1770,2047,0,17,28.0
2025,12,19,5,B6,MSP,MSP,710,505,0,7,3.0
2025,5,3,3,UA,EWR,DTW,1155,1640,0,11,11.0
2025,1,14,1,AA,IAH,CLT,625,1881,0,6,10.0
2025,12,28,5,F9,BOS,IAH,1910,1656,0,19,21.0
2025,10,6,3,UA,PHL,DFW,1995,1815,0,19,23.0
2025,6,19,4,F9,FLL,JFK,2205,4085,0,22,14.0
2025,12,18,3,AA,DEN,EWR,310,4573,0,3,19.0
2025,9,12,2,B6,SFO,SFO,875,4266,0,8,5.0
2025,1,15,5,AA,ATL,FLL,175,3985,0,1,4.0
2025,11,25,6,DL,FLL,MIA,1190,239,0,11,10.0
2025,11,6,1,UA,CLT,SEA,930,1169,0,9,57.0
2025,10,21,5,F9,IAH,MCO,1680,2851,0,16,16.0
2025,12,12,2,B6,LAX,LGA,170,2715,0,1,13.0
2025,12,19,1,AA,DTW,DFW,990,3892,0,9,12.0
2025,3,7,5,DL,MCO,BOS,1115,750,0,11,2.0
2025,12,23,1,UA,PHL,PHX,80,795,0,0,12.0
2025,7,20,4,AA,MSP,LAX,1850,2043,0,18,19.0
2025,4,10,5,DL,FLL,CLT,200,274,0,2,4.0
2025,9,18,0,AS,MSP,FLL,1460,3771,0,14,23.0
2025,3,2,4,AA,ORD,CLT,1455,1086,0,14,56.0
2025,5,13,6,DL,MCO,LGA,2105,3954,0,21,7.0
2025,3,15,0,AA,SEA,JFK,2010,577,0,20,19.0
2025,7,28,5,B6,DFW,JFK,1160,224,0,11,32.0
2025,5,24,0,UA,DFW,MCO,1330,986,0,13,15.0
2025,9,4,6,F9,ATL,LGA,205,730,0,2,14.0
2025,7,7,6,DL,ATL,DFW,595,2516,0,5,37.0
2025,2,3,5,UA,MSP,FLL,875,2154,0,8,9.0
2025,4,25,4,DL,EWR,IAH,120,2231,0,1,25.0
2025,9,16,3,AA,MCO,DFW,2295,602,0,22,8.0
2025,12,26,4,NK,CLT,LAX,360,1659,0,3,10.0
2025,2,9,2,F9,ORD,ATL,1450,230,0,14,8.0
2025,10,23,2,UA,DFW,SFO,1195,3829,0,11,17.0
2025,9,23,2,B6,CLT,JFK,20,1121,0,0,9.0
2025,10,17,6,NK,SEA,LAX,225,2461,0,2,15.0
2025,5,26,2,F9,DEN,SEA,1590,303,0,15,6.0
2025,2,8,0,SW,PHL,PHL,785,1368,0,7,14.0
2025,4,18,0,B6,MCO,LGA,1775,1333,0,17,22.0
2025,12,24,4,NK,EWR,ORD,1820,1159,0,18,33.0
2025,12,27,1,SW,EWR,DTW,2080,846,0,20,20.0
2025,7,13,1,F9,PHX,CLT,2015,1169,0,20,59.0
2025,12,2,5,B6,JFK,PHX,15,3836,0,0,11.0
2025,8,1,0,SW,SEA,MIA,1135,795,0,11,11.0
2025,3,16,3,SW,MSP,EWR,2325,2239,0,23,5.0
2025,1,16,0,DL,SEA,ATL,1370,3687,0,13,6.0
2025,4,11,3,B6,ATL,PHX,2180,268,0,21,29.0
2025,2,24,1,UA,FLL,PHL,1310,3015,0,13,10.0
2025,8,4,0,DL,MIA,JFK,665,928,0,6,6.0
2025,4,11,6,UA,MCO,ORD,1305,532,0,13,110.0
2025,2,26,5,B6,IAH,IAH,1710,3115,0,17,31.0
2025,6,6,4,SW,DEN,EWR,1825,3927,0,18,23.0
2025,6,26,2,AS,MCO,SEA,815,2720,0,8,9.0
2025,10,11,1,AA,MCO,BOS,2330,2984,0,23,37.0
2025,4,26,0,SW,FLL,DTW,40,604,0,0,9.0
2025,6,1,0,SW,DEN,EWR,2120,1261,0,21,56.0
2025,2,9,2,AS,PHL,DEN,1955,2806,0,19,60.0
2025,10,27,1,DL,MIA,SFO,290,4941,0,2,21.0
2025,12,7,4,DL,LGA,JFK,775,1433,0,7,25.0
2025,2,21,6,UA,ATL,LAX,660,613,0,6,3.0
2025,10,22,4,B6,LAX,BOS,1470,2090,0,14,10.0
2025,4,3,4,AA,IAH,LGA,1715,2672,0,17,19.0
2025,8,9,1,UA,BOS,LAX,1900,1975,0,19,19.0
2025,7,2,5,SW,LGA,DEN,1440,3870,0,14,3.0
2025,12,28,4,DL,FLL,MSP,15,4679,0,0,10.0
2025,9,10,3,SW,LAX,BOS,205,4107,0,2,6.0
2025,8,17,0,SW,DFW,SFO,1185,2246,0,11,15.0
2025,5,1,3,NK,JFK,DTW,870,4523,0,8,11.0
2025,2,26,1,B6,DTW,DTW,435,4555,0,4,12.0
2025,5,18,4,B6,ATL,DFW,795,3367,0,7,6.0
2025,8,6,4,F9,FLL,SEA,785,1291,0,7,17.0
2025,10,6,4,DL,BOS,DTW,1075,3561,0,10,27.0
2025,9,9,2,B6,DFW,DEN,55,2048,0,0,9.0
2025,12,10,2,NK,ATL,EWR,2045,3930,0,20,19.0
2025,12,15,5,SW,MSP,MCO,750,4029,0,7,3.0
2025,12,4,4,SW,LGA,JFK,2100,4367,0,21,9.0
2025,9,8,0,AA,CLT,EWR,540,2884,0,5,12.0
2025,1,4,2,NK,DFW,ATL,715,4607,0,7,9.0
2025,9,3,5,NK,ATL,IAH,805,4020,0,8,9.0
2025,7,4,1,UA,DTW,SFO,1685,2718,0,16,23.0
2025,9,1,4,AA,LGA,MCO,215,3948,0,2,12.0
2025,8,9,0,NK,MCO,EWR,1280,2586,0,12,14.0
2025,1,11,2,AS,MIA,FLL,915,4212,0,9,15.0
2025,12,21,6,AA,CLT,BOS,345,3752,0,3,16.0
2025,8,23,1,UA,EWR,MIA,1915,2779,0,19,26.0
2025,8,19,6,F9,MIA,LGA,2175,3518,0,21,14.0
2025,11,21,2,NK,PHL,MCO,250,179,0,2,16.0
2025,3,26,5,AA,EWR,DFW,2345,4155,0,23,5.0
2025,1,20,5,AS,PHX,PHL,405,3134,0,4,43.0
2025,8,7,1,NK,DEN,DEN,670,198,0,6,30.0
2025,3,5,4,NK,LGA,MSP,1495,3040,0,14,24.0
2025,3,2,0,NK,JFK,DTW,2105,1591,0,21,50.0
2025,1,19,6,SW,ORD,LGA,2150,4444,0,21,3.0
2025,11,24,3,SW,MSP,MSP,1825,467,0,18,18.0
2025,5,3,2,NK,PHL,DFW,1235,3494,0,12,20.0
2025,10,15,6,AA,BOS,PHL,1500,1559,0,15,17.0
2025,7,7,0,F9,ORD,MSP,1700,4359,0,17,24.0
2025,10,5,3,AS,LAX,ATL,615,2707,0,6,16.0
2025,9,23,4,UA,ATL,MSP,2235,3391,0,22,13.0
2025,12,10,5,NK,MSP,EWR,15,843,0,0,10.0
2025,7,9,1,AS,MSP,ATL,160,2603,0,1,17.0
2025,9,23,4,AA,DFW,PHL,1350,4709,0,13,21.0
2025,8,14,0,DL,EWR,EWR,1730,4272,0,17,31.0
2025,12,22,0,F9,LGA,MIA,2100,2525,0,21,46.0
2025,2,28,2,DL,JFK,ATL,2150,654,0,21,27.0
2025,1,13,5,B6,MSP,MCO,1905,2217,0,19,15.0
2025,7,1,3,F9,DFW,PHL,300,4061,0,3,29.0
2025,7,16,3,AS,JFK,CLT,1195,2909,0,11,10.0
2025,8,20,2,AA,SFO,BOS,225,160,0,2,20.0
